id,date,type,kia,wia,city,region,region_id,text,lat,lng
1,12/09/2015,CACHE/FOUND,0,0,Kramatorsk,DONETSK,dn,IEDs were found and disposed by Combat Engineers TBC if they were just landmines,48.738967,37.58435
2,12/09/2015,UNKNOWN,0,0,Kharkiv,KHARKIV,kh,An IED was blown up in front of a ROSHEN shop Shopping Center ,49.9935,36.230383
3,12/08/2015,UNKNOWN,0,0,Kiev,KIEV,kiev,A device was detonated against a restaurant (LKafa) Boulevard Lesi Ukrainian,50.0529506,30.7667133
4,12/07/2015,HOAX/FALSE,0,0,Ivano-Frankivsk,IVANO-FRANKIVSK,if,Call reporting IED - First Responders action - no explosive Central Metro/bus station,48.922633,24.711117
5,12/02/2015,CACHE/FOUND,0,0,Krasnoarmiis'k,DONETSK,dn,An IED was found and disposed by EOD ,48.282193,37.1847804
6,12/02/2015,CACHE/FOUND,0,0,Avdeevka,DONETSK,dn,A cache with 3 IEDs with TNT was found and cleared Inside an abandoned house,48.136596,37.7491335
7,12/02/2015,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,uz,An IED was detonated against a store in Franko Street ,48.6208,22.287883
8,11/30/2015,CACHE/FOUND,0,0,Mariupol ,DONETSK,dn,"Several landmines, 800 gr of TNT and electric detonators were found ",47.097133,37.543367
9,11/28/2015,UNKNOWN,0,0,Avdotyino,DONETSK,dn,A device was blown up damaging a power substation ,47.92334,37.857918
10,11/27/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK ,lg,"A cache was discovered: weapons, 1 Kg TNT & electric detonators Near a pump station",48.737247,39.2311974
11,11/26/2015,UNKNOWN,0,0,Simferopol,CRIMEA,crimea,IED attack against a power substation ,44.952117,34.102417
12,11/26/2015,HOAX/FALSE,0,0,Kiev,KIEV,kiev,Call reporting IED - First Responders action - no explosive Lukyanovska Metro station,50.0529506,30.7667133
13,11/26/2015,CACHE/FOUND,0,0,Klisiivka,DONETSK,dn,"Near the railway, 500 gr of plastic explosive were found ",48.015883,37.80285
14,11/25/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK ,lg,3 detonators & 600 gr TNT ,48.737247,39.2311974
15,11/24/2015,CACHE/FOUND,0,0,Bovrove,LUHANSK ,lg,A Command-Wired IED was found near a road close to a gas pipeline 800 gr TNT & electric detonators,48.574041,39.307815
16,11/22/2015,UNKNOWN,0,0,Kherson,KHERSON,ks,Four electrical towers were blown up Electrical power to Crimea was disrrupted,46.635417,32.616867
17,11/21/2015,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK,dp,"An IED was found in front of the City Council 800 gr TNT& detonating cord, but without any fuze or switch",47.910483,33.391783
18,11/20/2015,UNKNOWN,0,0,Kherson,KHERSON,ks,Two electrical towers were blown up Electrical power to Crimea was disrrupted,46.635417,32.616867
19,11/19/2015,CACHE/FOUND,0,0,Druzkivci,DONETSK,dn,"Ammunition, explosives and detonators were found ",48.015883,37.80285
20,11/18/2015,CACHE/FOUND,0,0,Mariupol ,DONETSK,dn,"2,5 Kg of plastic explosive were found ",47.097133,37.543367
21,11/18/2015,HOAX/FALSE,0,0,Kiev,KIEV,kiev,Call reporting IED - First Responders action - no explosive Teatralna & Kreshatyk Metro stations,50.0529506,30.7667133
22,11/17/2015,HOAX/FALSE,0,0,Kiev,KIEV,kiev,Call reporting IED - First Responders action - no explosive Threat against all MCDONALDS restaurants,50.0529506,30.7667133
23,11/16/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK ,lg,5 Kg of TNT were found along with weapons and ammunition ,48.737247,39.2311974
24,11/16/2015,HOAX/FALSE,0,0,Kiev,KIEV,kiev,Call reporting IED - First Responders action - no explosive Central Metro station,50.0529506,30.7667133
25,11/16/2015,CACHE/FOUND,0,0,Zakarpatye,DONETSK,dn,"After the search of a van, 2 detonators & 400 gr of TNT were found ",48.015883,37.80285
26,11/15/2015,HOAX/FALSE,0,0,Chernihiv,CHERNIHIV,cn,Call reporting IED - First Responders action - no explosive It was a suitcase in front of a polling station,51.4982,31.28935
27,11/13/2015,UNKNOWN,0,0,Zhytomyr,ZHYTOMYR,zt,An IED was detonated between Atlantic & Lviv Streets ,50.25465,28.658667
28,11/13/2015,HOAX/FALSE,0,0,Kiev,KIEV,kiev,Call reporting IED - First Responders action - no explosive Railway Central station,50.0529506,30.7667133
29,11/13/2015,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,uz,An IED was detonated ,48.6208,22.287883
30,11/13/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK ,lg,"Detonators, TNT and plastic explosive were seized ",48.737247,39.2311974
31,11/12/2015,UNKNOWN,2,0,Marinka,DONETSK,dn,A civilian car was affected by the detonation on an IED ,47.9422861,37.5040301
32,11/12/2015,CACHE/FOUND,0,0,Mistky,LUHANSK ,lg,"Weapons, grenades and ammunition found along with 1 Kg TNT ",49.3425248,38.5035221
33,11/10/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK ,lg,A cache with TNT and rockets was found ,48.737247,39.2311974
34,11/10/2015,CACHE/FOUND,0,0,Volnovakha,DONETSK,dn,Several 120 mm artillery rounds were found protected by an IED Composed of TNT & artillery fuzes,47.5951141,37.4831419
35,11/09/2015,PROJECTED,1,0,Kiev,KIEV,kiev,A man was killed after the detonation of an improvised hand grenade ,50.0529506,30.7667133
36,11/07/2015,CACHE/FOUND,0,0,Donetsk,DONETSK,dn,Two caches with explosives were discovered ,48.015883,37.80285
37,11/06/2015,CACHE/FOUND,0,0,Odessa,ODESSA,od,Explosives were found inside a garbage container ,46.482526,30.7233095
38,11/04/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK ,lg,2 Kg of TNT were seized after a search for weapons and ammo ,48.737247,39.2311974
39,11/03/2015,CACHE/FOUND,0,0,Pobeda,LUHANSK,lg,Explosives were found hidden in the roof of a house ,49.0469389,39.1117866
40,11/01/2015,UNKNOWN,0,2,Volnovakha,DONETSK,dn,An IED was used against a night club ,47.5951141,37.4831419
41,10/31/2015,UNKNOWN,0,0,Svatovo,LUHANSK,lg, Ammunition depot was blown up after an IED detonation It causes the detonation of about 3500 tons of ammunition,49.4154809,38.1568889
42,10/29/2015,CACHE/FOUND,0,0,Mariupol ,DONETSK,dn,A DNR militant was detained with 100 gr of TNT ,47.097133,37.543367
43,10/28/2015,CACHE/FOUND,0,0,Marinka,DONETSK,dn,"Rockets, grenades and explosives were found ",47.9422861,37.5040301
44,10/27/2015,CACHE/FOUND,0,0,Kharkiv,KHARKIV,kh,"A cache with explosives was discovered near a monastery Pokrovsky monastery, University Street",49.9935,36.230383
45,10/26/2015,CACHE/FOUND,0,0,Artemivsk,DONETSK,dn,9 Kg of TNT and several detonators were seized ,48.5986674,37.9980367
46,10/24/2015,CACHE/FOUND,0,0,Slavne,DONETSK,dn,Detonators and TNT were found ,48.217321,38.3194357
47,10/22/2015,CACHE/FOUND,0,0,Novokramatorsk,DONETSK,dn,Grenades and 400 gr of TNT were found ,48.015883,37.80285
48,10/22/2015,CACHE/FOUND,0,0,Zaceive,DONETSK,dn,More than 20 Kg of TNT were seized after a search ,48.015883,37.80285
49,10/22/2015,UNKNOWN,0,1,Zolote,LUHANSK,lg,The detonation of an IED caused injuries to one soldier ,48.6928568,38.5146349
50,10/21/2015,CACHE/FOUND,0,0,Verkhnio Toretske,DONETSK,dn,"Weapons, 1.1 Kg TNT and landmines were found ",48.015883,37.80285
51,10/21/2015,UNKNOWN,0,1,Mikolayiv,MIKOLAYIV,mk,Detonation of a device inside an apartment ,46.975033,31.994583
52,10/20/2015,HOAX/FALSE,0,0,Mariupol ,DONETSK,dn,Call reporting IED - First Responders action - no explosive Khmelnytsky Boulevard,47.097133,37.543367
53,10/20/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK,lg,"Weapons, ammunition & explosives were discovered in a search ",48.737247,39.2311974
54,10/19/2015,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK,dp,"Explosives were found during a search for weapons 20 Kg TNT, 7 m detonating cord & 7 electric detonators",47.910483,33.391783
55,10/19/2015,CACHE/FOUND,0,0,Mezhova,DONETSK,dn,Black powder and explosives were seized during a vehicle search ,49.0161213,38.3751404
56,10/18/2015,CACHE/FOUND,0,0,Sergueevka,DONETSK,dn,2 Kg of TNT were found along with weapons ,48.6723762,37.3716475
57,10/17/2015,UNKNOWN,0,0,Kiev,KIEV,kiev,An IED was detonated in a parking area ,50.0529506,30.7667133
58,10/17/2015,UNKNOWN,0,0,Kherson,KHERSON,ks,A device was blown up against a caf_ ,46.635417,32.616867
59,10/16/2015,CACHE/FOUND,0,0,Artemivsk,DONETSK,dn,Detonators and munitions were found during a search ,48.5986674,37.9980367
60,10/16/2015,CACHE/FOUND,0,0,Kurakhovo,DONETSK,dn,"Weapons, explosives and detonators were discovered ",47.9865822,37.2906965
61,10/15/2015,CACHE/FOUND,0,0,Maryinsky,DONETSK,dn,Explosives found ,48.015883,37.80285
62,10/13/2015,CACHE/FOUND,0,0,Marinka,DONETSK,dn,"Weapons, gunpowder and explosives were found æNot clear if explosives were munition or explosives in fact",47.9422861,37.5040301
63,10/13/2015,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,dp,A man was detained with explosives 11 Kg of plastic explosive along with 5 electric detonators,48.464717,35.046183
64,10/12/2015,UNKNOWN,1,0,Kryvyi Rih,DNIPROPETROVSK,dp,A suspected IED emplacer was killed by his own IED In front of a school,47.910483,33.391783
65,10/07/2015,UNKNOWN,0,0,Lviv,LVIV,lviv,Detonation of a device against Poland Consulate It was emplaced inside a garbage can,49.839683,24.029717
66,10/07/2015,UNKNOWN,0,0,Kharkiv,KHARKIV,kh,"An IED was blown up against in the railroad Station ""kupiansk-Uzlovy""",49.9935,36.230383
67,10/07/2015,CACHE/FOUND,0,0,Aslanove,DONETSK,dn,Some weapons were found along with explosives TNT and plastic explosive,47.2435632,37.579323
68,10/07/2015,UNKNOWN,0,0,Bilhorod Dnistrovsky,ODESSA,od,A device was blown up against an enlistment office 200 gr TNT equivalent,46.1854516,30.3414908
69,10/07/2015,CACHE/FOUND,0,0,Bila Tserkva,KIEV,kiev,Arms dealers were detained: explosives found ,49.7967977,30.1310853
70,10/03/2015,CACHE/FOUND,0,0,Popasna,LUHANSK,lg,Explosives and weapons were found ,48.6282422,38.3727154
71,10/05/2015,HOAX/FALSE,0,0,Kharkiv,KHARKIV,kh,Call reporting IED - First Responders action - no explosive City center,49.9935,36.230383
72,10/03/2015,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK,dn,A man was detained when trying to emplace an IED Against a check point in the road,48.3972873,37.855245
73,10/02/2015,VOIED,1,0,Stanytsia Luhanska,LUHANSK ,lg,One soldier was killed after the detonation of an IED ,48.6798458,39.4672507
74,10/01/2015,CACHE/FOUND,0,0,Vinnytsia,VINNYTSIA,vn,"One arms dealer was detained in possession of explosives TNT blocks (4,6 Kg)",49.233083,28.468217
75,10/01/2015,CACHE/FOUND,0,0,Kurakhovo,DONETSK,dn,Explosives and detonators were seized ,47.9865822,37.2906965
76,9/30/2015,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,dp,Explosives and detonators were seized ,48.464717,35.046183
77,9/28/2015,UNKNOWN,0,1,Kiev,KIEV,kiev,"A device was blown up in a railway station In ""Southern Vzryvpaket"" station. Suspect was detained hours later.",50.0529506,30.7667133
78,9/28/2015,UNKNOWN,0,0,Kharkiv,KHARKIV,kh,A device detonated in central railway station Not confirmed,49.9935,36.230383
79,9/27/2015,UNKNOWN,0,0,Odessa,ODESSA,od,"IED attack against the building of UKR Security Service (SBU/???) 5-7  Kg TNT equivalent. It was claimed by ""???????? ????????""",46.482526,30.7233095
80,9/26/2015,HOAX/FALSE,0,0,Odessa,ODESSA,od,Call reporting IED - First Responders action - no explosive Central railway station,46.482526,30.7233095
81,9/25/2015,CACHE/FOUND,0,0,Severodonetsk,LUHANSK,lg,Several IEDs were found protecting a cache withy missiles ,48.9481767,38.4878773
82,9/24/2015,UNKNOWN,1,3,Torez,DONETSK,dn,An IED blown up during a military tank competition It was hidden inside a combat vehicles battery compartment,48.0201627,38.6545258
83,9/23/2015,VOIED,0,0,Sopyne,DONETSK,dn,Several IEDs were found under Ukrainian soldiers corpses ,47.0915367,37.754335
84,9/22/2015,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,dp,3 suspects were detained when r-trying to blow a bridge up Explosives and detonators were seized,48.464717,35.046183
85,9/21/2015,CACHE/FOUND,0,0,Mikolayiv,MIKOLAYIV,mk,"Explosives found after detention of 4 suspects One complete IED, other explosives and weapons",46.975033,31.994583
86,9/20/2015,CACHE/FOUND,0,0,Donetsk,DONETSK,dn,"Explosives were found during vehicle search in a check point Detonating cord, detonators and military ordnance as main charge",48.015883,37.80285
87,9/17/2015,CACHE/FOUND,0,0,Debaltseve,LUHANSK,lg,"A cache with weapons, ammunition and TNT was discovered ",48.3340595,38.4062034
88,9/15/2015,CACHE/FOUND,0,0,Polovynkyne,LUHANSK,lg,A large cache of weapons and explosives was discovered ,49.2252765,38.919731
89,9/14/2015,VOIED,0,2,Berezove,DONETSK,dn,Two women wounded after triggering an IED ,47.770304,37.5822163
90,9/14/2015,CACHE/FOUND,0,0,Mariupol,DONETSK,dn,"4 KG of TNT and other ammunition were found in a warehouse They were packed in white bags marked as ""Novorossiya Aid Foundation""",47.097133,37.543367
91,09/11/2015,UNKNOWN,0,0,Odessa,ODESSA,od,A device was detonated in a residential area ,46.482526,30.7233095
92,09/10/2015,CACHE/FOUND,0,0,Odessa,ODESSA,od,"A man was discovered when trying to plant an IED near a check point Reported as RC switch (mobile phone), 400 gr TNT block as main charge",46.482526,30.7233095
93,09/09/2015,CACHE/FOUND,0,0,Shchastya,LUHANSK,lg,Explosives and weapons were found ,48.737247,39.2311974
94,09/09/2015,CACHE/FOUND,0,0,Odessa,ODESSA,od,An IED was found in front of a National Guard Unit Headquarters 400 gr TNT equivalent,46.482526,30.7233095
95,09/07/2015,CACHE/FOUND,0,0,Vodyane,ZAPORIZHIA,zp,Explosives were found in a cache ,47.479275,34.5045859
96,09/07/2015,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK,dn,A cache with weapons and explosives was discovered ,48.3972873,37.855245
97,09/07/2015,CACHE/FOUND,0,0,Odessa,ODESSA,od,An IED was found and disposed by emergency services (SSU) ,46.482526,30.7233095
98,09/07/2015,CACHE/FOUND,0,0,Luhansk,LUHANSK,lg,A cache was discovered near Artemivsk-Lysychansk road ,48.574041,39.307815
99,09/04/2015,PROJECTED,0,0,Rivne,RIVNE,rv,A homemade grenade was blown up in the street ,50.6199,26.251617
100,09/04/2015,CACHE/FOUND,0,0,Plovynkyne,LUHANSK,lg,Another cache was discovered after investigation ,48.574041,39.307815
101,09/03/2015,UNKNOWN,0,2,Dzerzhinsk,DONETSK,dn,A device detonated affecting two persons ,48.3972873,37.855245
102,09/03/2015,CACHE/FOUND,0,0,Volodarsky,DONETSK,dn,A cache was discovered and TNT was found inside ,48.015883,37.80285
103,09/03/2015,PROJECTED,0,0,Zaporizhia,ZAPORIZHIA,zp,A homemade hand grenade was thrown against a business office ,47.8388,35.139567
104,09/02/2015,UNKNOWN,1,0,Ognevka,POLTAVA,pl,A device was blown up causing a fire with the result of a dead man ,49.575923,34.521275
105,8/31/2015,UNKNOWN,1,0,Kiev,KIEV,kiev,A soldier of national Guard was killed after a device detonated Possible hand grenade (TBC),50.0529506,30.7667133
106,8/31/2015,HOAX/FALSE,0,0,Kiev,KIEV,kiev,"Call reporting IED - First Responders action - no explosive Near ""Arsenalnaya"" metro station",50.0529506,30.7667133
107,8/30/2015,CACHE/FOUND,0,0,Polovynkyne,LUHANSK,lg,A cache was found in an abandoned factory 33 Kg of TNT,49.2252765,38.919731
108,8/30/2015,CACHE/FOUND,0,0,Bakhmutivka,LUHANSK,lg,A cache with explosives and weapons was found  ,48.8671466,39.0414588
109,8/29/2015,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,dp,A suspect was detained when trying to sell explosives 20 Kg of TNT,48.464717,35.046183
110,8/28/2015,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,dp,600 gr of TNT were found in a cache along with weapons & ammo ,48.464717,35.046183
111,8/28/2015,CACHE/FOUND,0,0,Vesele,DONETSK,dn,"A cache wit weapons and  explosives was found 18x200 gr TNT, 4x400 gr TNT & 24 detonators",47.4852086,37.3640615
112,8/27/2015,CACHE/FOUND,0,0,Volodarsky,DONETSK,dn,A suspect was detained. Weapons and TNT were seized ,48.015883,37.80285
113,8/27/2015,UNKNOWN,0,0,Kiev,KIEV,kiev,"IED attack against an office of ""Sberbank"" Victory Avenue",50.0529506,30.7667133
114,8/24/2015,UNKNOWN,0,0,Rovenky,LUHANSK ,lg,"IED attack against gas pipeline ""Moscow-Stavropol"" ",48.0823858,39.3699771
115,8/23/2015,CACHE/FOUND,0,0,Odessa,ODESSA,od,An IED laboratory was discovered after detention of suspects A complete IED & some components were found,46.482526,30.7233095
116,8/22/2015,CACHE/FOUND,0,0,NULL,ZAPORIZHIA,zp,An IED laboratory was dismantled They were manufacturing TATP & improvised detonators,47.8388,35.139567
117,8/22/2015,CACHE/FOUND,0,0,Kharkiv,KHARKIV,kh,IEDs & explosives were found after detention of 2 suspects ,49.9935,36.230383
118,8/22/2015,CACHE/FOUND,0,0,Starobil's'k,LUHANSK ,lg,Flash powder & munitions were found in a suspects home ,49.2736853,38.9255482
119,8/22/2015,CACHE/FOUND,0,0,Novgorod,DONETSK,dn,"Explosives were seized during a search 4 Kg TNT, plastic explosive and munitions",47.5421316,36.9195077
120,8/22/2015,UNKNOWN,0,0,Mikolayiv,MIKOLAYIV,mk,Two devices were detonated against a volunteers office Youth Center,46.975033,31.994583
