s_id,t_id,cs_value
4,12,0.574733002
4,24,0.846714975
4,28,0.728385208
4,80,0.728385208
4,106,0.560540005
4,122,0.505733029
4,146,0.574733002
4,194,0.728385208
4,214,0.502374322
4,246,0.508061129
4,247,0.501906054
4,269,0.618248444
4,295,0.59873227
4,299,0.574733002
4,303,0.59873227
4,305,0.508061129
4,306,0.501906054
4,451,0.728385208
4,464,0.509028022
4,467,0.562162259
4,476,0.690287126
4,489,0.690287126
4,502,0.597035968
4,511,0.712513807
4,525,0.574733002
4,526,0.618248444
4,530,0.588729032
4,540,0.59873227
4,545,0.574733002
5,572,0.502192741
5,372,0.503069284
8,45,0.517464355
9,11,0.56666891
11,381,0.618089129
12,306,0.519414036
12,324,0.505418716
12,305,0.525783819
12,303,0.61961784
12,299,0.594781406
12,295,0.61961784
12,269,0.639814797
12,247,0.519414036
12,489,0.52476542
12,476,0.52476542
12,467,0.581772158
12,470,0.501747757
12,451,0.553728087
12,24,0.678779777
12,28,0.553728087
12,80,0.553728087
12,122,0.523374508
12,106,0.580093315
12,246,0.525783819
12,214,0.519898639
12,194,0.553728087
12,146,0.594781406
12,545,0.594781406
12,540,0.61961784
12,530,0.60926566
12,526,0.639814797
12,525,0.594781406
12,511,0.55692751
14,110,0.512496001
16,18,0.917564806
19,23,0.532386698
19,46,0.637246211
19,53,0.508667459
19,60,0.519831991
19,70,0.55300635
19,75,0.626737958
19,76,0.626737958
19,93,0.55300635
19,354,0.509767139
20,271,0.508990079
20,212,0.551608672
20,634,0.527251134
21,523,0.50742358
21,530,0.739503981
21,495,0.515953671
23,170,0.566741067
23,87,0.593927825
23,56,0.843833603
23,50,0.558807282
23,67,0.617880959
23,32,0.864840779
24,28,0.860248407
24,80,0.860248407
24,71,0.509990575
24,106,0.662017352
24,122,0.597288396
24,141,0.520249781
24,177,0.520249781
24,184,0.520249781
24,146,0.678779777
24,194,0.860248407
24,214,0.593321645
24,246,0.600037963
24,247,0.592768604
24,495,0.518519218
24,502,0.705120361
24,473,0.504472114
24,476,0.81525324
24,489,0.81525324
24,464,0.601179898
24,451,0.860248407
24,469,0.552035766
24,470,0.572607393
24,467,0.66393329
24,277,0.515111824
24,280,0.519938679
24,269,0.730173037
24,295,0.707123752
24,299,0.678779777
24,301,0.511147935
24,303,0.707123752
24,304,0.56697262
24,305,0.600037963
24,324,0.576796787
24,306,0.592768604
24,530,0.695309579
24,526,0.730173037
24,540,0.707123752
24,525,0.678779777
24,511,0.841503727
24,516,0.511023359
24,545,0.678779777
25,47,0.570531686
28,71,0.51669045
28,80,1
28,141,0.527084433
28,106,0.540053805
28,230,0.502471094
28,194,1
28,146,0.553728087
28,177,0.527084433
28,184,0.527084433
28,324,0.584374311
28,385,0.535220113
28,303,0.576850247
28,304,0.574421082
28,299,0.553728087
28,295,0.576850247
28,277,0.521878977
28,280,0.526769244
28,269,0.595653159
28,464,0.609077749
28,469,0.671498693
28,451,1
28,457,0.508092128
28,489,0.825963427
28,472,0.567605663
28,540,0.576850247
28,545,0.553728087
28,549,0.50328972
28,511,0.712855315
28,502,0.606578667
28,525,0.553728087
28,526,0.595653159
28,530,0.567212601
30,275,0.508445367
30,354,0.56307909
30,119,0.56103246
30,75,0.674140559
30,76,0.674140559
30,45,0.601381779
30,46,0.646810835
31,130,0.573589575
32,67,0.540188316
32,56,0.696107824
32,87,0.572263366
32,170,0.593819971
32,175,0.513475892
33,43,0.560827395
33,108,0.603257116
33,102,0.533329341
35,73,0.513574769
40,238,0.544610103
43,271,0.617335429
45,354,0.597190461
45,75,0.598696265
45,76,0.598696265
45,46,0.57442506
46,59,0.530810704
46,70,0.500591706
46,75,0.601277128
46,76,0.601277128
46,93,0.500591706
46,354,0.745820069
49,73,0.564584441
49,205,0.500120226
50,70,0.583416063
50,56,0.574765766
50,93,0.583416063
52,228,0.502828642
53,60,0.593933153
53,87,0.575439744
54,137,0.51818292
54,241,0.606280372
56,180,0.501396159
56,110,0.580502011
56,67,0.659793782
57,91,0.536931655
58,178,0.526513494
58,351,0.513211042
58,344,0.592043262
59,119,0.669625009
60,93,0.663213965
60,96,0.649532251
60,70,0.663213965
60,88,0.532871094
60,75,0.632179194
60,76,0.632179194
61,70,0.615339979
61,95,0.587992671
61,93,0.615339979
62,93,0.504519482
62,70,0.504519482
67,70,0.606445544
67,93,0.606445544
67,108,0.529098158
67,239,0.538917007
67,213,0.587970698
70,108,0.669005512
70,93,1
70,95,0.507320486
70,76,0.50240004
70,75,0.50240004
70,307,0.543063425
70,248,0.543063425
71,280,0.501791284
71,291,0.699133442
71,292,0.517965879
71,460,0.722729031
71,462,0.722729031
71,451,0.51669045
71,468,0.530930173
71,80,0.51669045
71,141,0.502091528
71,184,0.502091528
71,177,0.502091528
71,194,0.51669045
73,205,0.732801587
73,235,0.507237672
75,93,0.50240004
75,76,1
75,84,0.546329947
75,354,0.532073086
76,354,0.532073086
76,84,0.546329947
76,93,0.50240004
80,106,0.540053805
80,141,0.527084433
80,230,0.502471094
80,194,1
80,184,0.527084433
80,177,0.527084433
80,146,0.553728087
80,324,0.584374311
80,295,0.576850247
80,299,0.553728087
80,304,0.574421082
80,303,0.576850247
80,469,0.671498693
80,464,0.609077749
80,472,0.567605663
80,451,1
80,457,0.508092128
80,489,0.825963427
80,530,0.567212601
80,540,0.576850247
80,526,0.595653159
80,525,0.553728087
80,502,0.606578667
80,549,0.50328972
80,545,0.553728087
85,189,0.542100263
85,117,0.561949108
87,108,0.622575881
87,102,0.605416908
87,96,0.780788571
87,88,0.540819297
88,96,0.706620661
88,108,0.556723716
91,232,0.686588059
91,224,0.835872499
93,95,0.507320486
93,108,0.669005512
93,248,0.543063425
93,307,0.543063425
95,108,0.602564116
96,108,0.82782581
96,102,0.600145864
97,359,0.617806391
99,131,0.51808427
102,108,0.506079836
103,397,0.651680142
103,647,0.53416843
106,545,0.580093315
106,526,0.624014609
106,525,0.580093315
106,540,0.936211448
106,530,0.594219881
106,309,0.577058124
106,306,0.506587138
106,305,0.512799619
106,303,0.604316415
106,451,0.540053805
106,467,0.567405329
106,489,0.51180637
106,122,0.510449806
106,146,0.580093315
106,246,0.512799619
106,247,0.506587138
106,214,0.507059774
106,194,0.540053805
108,144,0.505153443
109,391,0.676301599
110,402,0.533962932
112,396,0.507803343
115,189,0.551639947
117,189,0.793450351
117,212,0.548244006
117,313,0.577831061
122,314,0.507835158
122,303,0.545229187
122,467,0.511927094
122,203,0.557255227
122,222,0.557255227
122,146,0.523374508
122,530,0.536119845
122,540,0.545229187
122,526,0.563001384
122,525,0.523374508
122,545,0.523374508
125,131,0.578820125
130,250,0.50686815
137,241,0.516323695
138,141,0.596877194
138,184,0.596877194
138,177,0.596877194
141,156,0.546068268
141,177,1
141,184,1
141,194,0.527084433
141,451,0.527084433
146,451,0.553728087
146,324,0.505418716
146,467,0.581772158
146,470,0.501747757
146,489,0.52476542
146,194,0.553728087
146,246,0.525783819
146,247,0.519414036
146,214,0.519898639
146,545,0.594781406
146,525,0.594781406
146,526,0.639814797
146,530,0.60926566
146,540,0.61961784
156,184,0.546068268
156,177,0.546068268
157,185,0.523997152
158,592,0.502930061
176,200,0.565471726
177,194,0.527084433
177,184,1
177,451,0.527084433
180,185,0.5090965
181,532,0.54638299
184,194,0.527084433
184,451,0.527084433
187,351,0.569041071
187,350,0.554037286
189,212,0.528879244
193,352,0.544920101
194,489,0.825963427
194,502,0.606578667
194,469,0.671498693
194,472,0.567605663
194,230,0.502471094
194,540,0.576850247
194,530,0.567212601
194,526,0.595653159
194,525,0.553728087
194,545,0.553728087
194,549,0.50328972
195,592,0.511071058
195,597,0.62806748
195,230,0.516368824
203,222,1
203,214,0.817472199
205,235,0.607818255
208,532,0.561962165
214,540,0.541608175
214,526,0.559262342
214,530,0.53255933
214,525,0.519898639
214,545,0.519898639
214,222,0.817472199
219,221,0.62683524
224,232,0.573900077
225,634,0.545653235
236,500,0.582439443
236,501,0.582439443
240,644,0.501660866
246,545,0.525783819
246,525,0.525783819
246,530,0.538587827
246,526,0.565593113
246,540,0.547739103
247,540,0.541103336
247,530,0.532062926
247,526,0.558741048
247,525,0.519414036
247,545,0.519414036
256,505,0.535891411
260,47,0.512815017
261,195,0.858393982
261,434,0.686312892
261,597,0.539129346
266,284,0.593485877
267,84,0.520259077
269,106,0.624014609
269,122,0.563001384
269,80,0.595653159
269,194,0.595653159
269,146,0.639814797
269,247,0.558741048
269,246,0.565593113
269,214,0.559262342
269,295,0.666531702
269,303,0.666531702
269,299,0.639814797
269,304,0.835055954
269,324,0.543686084
269,305,0.565593113
269,306,0.558741048
269,495,0.741187567
269,489,0.564497608
269,470,0.53973718
269,467,0.625820564
269,469,0.520346456
269,451,0.595653159
269,545,0.639814797
269,502,0.514859875
269,511,0.599094823
269,523,0.734781889
269,525,0.639814797
269,526,1
269,530,0.655395714
269,540,0.666531702
270,300,0.543587304
275,67,0.553991065
275,56,0.519841632
275,119,0.612938156
277,80,0.521878977
277,194,0.521878977
277,304,0.645134566
277,324,0.536737416
277,451,0.521878977
277,489,0.6814358
278,291,0.658183878
280,284,0.51122945
280,291,0.543377873
280,324,0.552759795
280,451,0.526769244
280,456,0.526712289
280,194,0.526769244
280,177,0.511885549
280,184,0.511885549
280,195,0.541339031
280,230,0.561002802
280,80,0.526769244
280,141,0.511885549
284,238,0.601016045
291,230,0.51831362
291,195,0.500146152
291,466,0.501383135
291,468,0.500097835
291,324,0.510697859
291,292,0.536298344
294,189,0.526541127
294,117,0.545820279
295,122,0.545229187
295,106,0.604316415
295,194,0.576850247
295,146,0.61961784
295,214,0.541608175
295,246,0.547739103
295,247,0.541103336
295,305,0.547739103
295,299,0.61961784
295,304,0.517555711
295,303,0.645491375
295,324,0.526523611
295,306,0.541103336
295,469,0.503920742
295,470,0.522699362
295,471,0.673051758
295,467,0.858643333
295,451,0.576850247
295,489,0.54667818
295,530,0.634706916
295,526,0.666531702
295,525,0.61961784
295,540,0.645491375
295,545,0.61961784
296,318,0.531691249
298,495,0.515953671
298,523,0.50742358
299,525,0.594781406
299,526,0.639814797
299,530,0.60926566
299,545,0.594781406
299,540,0.61961784
299,489,0.52476542
299,451,0.553728087
299,467,0.581772158
299,470,0.501747757
299,324,0.505418716
299,303,0.61961784
299,305,0.525783819
299,306,0.519414036
299,246,0.525783819
299,247,0.519414036
299,214,0.519898639
299,146,0.594781406
299,194,0.553728087
299,106,0.580093315
299,122,0.523374508
303,146,0.61961784
303,194,0.576850247
303,214,0.541608175
303,246,0.547739103
303,304,0.517555711
303,305,0.547739103
303,247,0.541103336
303,324,0.526523611
303,306,0.541103336
303,470,0.522699362
303,469,0.503920742
303,467,0.858643333
303,451,0.576850247
303,489,0.54667818
303,545,0.61961784
303,530,0.634706916
303,540,0.645491375
303,526,0.666531702
303,525,0.61961784
304,523,0.596166192
304,530,0.508908719
304,526,0.835055954
304,540,0.517555711
304,489,0.750041881
304,495,0.610067846
304,451,0.574421082
