ID,DATE,TYPE,KIA,WIA,CITY,REGION,COUNTRY,DETAILS,GROUP,REMARKS,TEXT
1,2015 DEC 09,CACHE/FOUND,0,0,Kramatorsk,DONETSK,UKRAINE,IEDs were found and disposed by Combat Engineers,,TBC if they were just landmines,IEDs were found and disposed by Combat Engineers TBC if they were just landmines
2,2015 DEC 09,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,An IED was blown up in front of a ROSHEN shop,,Shopping Center ,An IED was blown up in front of a ROSHEN shop Shopping Center 
3,2015 DEC 08,UNKNOWN,0,0,Kievæ,æKIEV,UKRAINEæ,A device was detonated against a restaurant (L'Kafa),,Boulevard Lesi Ukrainian,A device was detonated against a restaurant (L'Kafa) Boulevard Lesi Ukrainian
4,2015 DEC 07,HOAX/FALSE,0,0,Ivano-Frankivsk,IVANO-FRANKIVSK,UKRAINE,Call reporting IED - First Responders action - no explosive,,Central Metro/bus station,Call reporting IED - First Responders action - no explosive Central Metro/bus station
5,2015 DEC 02,CACHE/FOUND,0,0,Krasnoarmiisk,DONETSK,UKRAINE,An IED was found and disposed by EOD,,,An IED was found and disposed by EOD 
6,2015 DEC 02,CACHE/FOUND,0,0,Avdeevka,DONETSK,UKRAINE,A cache with 3 IEDs with TNT was found and cleared,,Inside an abandoned house,A cache with 3 IEDs with TNT was found and cleared Inside an abandoned house
7,2015 DEC 02,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,UKRAINE,An IED was detonated against a store in Franko Street,,,An IED was detonated against a store in Franko Street 
8,2015 NOV 30,CACHE/FOUND,0,0,Mariupol ,DONETSK,UKRAINE,"Several landmines, 800 gr of TNT and electric detonators were found",,,"Several landmines, 800 gr of TNT and electric detonators were found "
9,2015 NOV 28,UNKNOWN,0,0,Avdotyino,DONETSK,UKRAINE,A device was blown up damaging a power substation,,,A device was blown up damaging a power substation 
10,2015 NOV 27,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,"A cache was discovered: weapons, 1 Kg TNT & electric detonators",,Near a pump station,"A cache was discovered: weapons, 1 Kg TNT & electric detonators Near a pump station"
11,2015 NOV 26,UNKNOWN,0,0,Simferopol,CRIMEA,UKRAINE,IED attack against a power substation,,,IED attack against a power substation 
12,2015 NOV 26,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Lukyanovska Metro station,Call reporting IED - First Responders action - no explosive Lukyanovska Metro station
13,2015 NOV 26,CACHE/FOUND,0,0,Klisiivka,DONETSK,UKRAINE,"Near the railway, 500 gr of plastic explosive were found",,,"Near the railway, 500 gr of plastic explosive were found "
14,2015 NOV 25,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,3 detonators & 600 gr TNT,,,3 detonators & 600 gr TNT 
15,2015 NOV 24,CACHE/FOUND,0,0,Bovrove,LUHANSK ,UKRAINE,A Command-Wired IED was found near a road close to a gas pipeline,,800 gr TNT & electric detonators,A Command-Wired IED was found near a road close to a gas pipeline 800 gr TNT & electric detonators
16,2015 NOV 22,UNKNOWN,0,0,TBD,KHERSON,UKRAINE,Four electrical towers were blown up,,Electrical power to Crimea was disrrupted,Four electrical towers were blown up Electrical power to Crimea was disrrupted
17,2015 NOV 21,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK,UKRAINE,An IED was found in front of the City Council,,"800 gr TNT& detonating cord, but without any fuze or switch","An IED was found in front of the City Council 800 gr TNT& detonating cord, but without any fuze or switch"
18,2015 NOV 20,UNKNOWN,0,0,TBD,KHERSON,UKRAINE,Two electrical towers were blown up,,Electrical power to Crimea was disrrupted,Two electrical towers were blown up Electrical power to Crimea was disrrupted
19,2015 NOV 19,CACHE/FOUND,0,0,Druzkivci,DONETSK,UKRAINE,"Ammunition, explosives and detonators were found",,,"Ammunition, explosives and detonators were found "
20,2015 NOV 18,CACHE/FOUND,0,0,Mariupol ,DONETSK,UKRAINE,"2,5 Kg of plastic explosive were found",,,"2,5 Kg of plastic explosive were found "
21,2015 NOV 18,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Teatral'na & Kreshatyk Metro stations,Call reporting IED - First Responders action - no explosive Teatral'na & Kreshatyk Metro stations
22,2015 NOV 17,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Threat against all MC'DONALDS restaurants,Call reporting IED - First Responders action - no explosive Threat against all MC'DONALDS restaurants
23,2015 NOV 16,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,5 Kg of TNT were found along with weapons and ammunition,,,5 Kg of TNT were found along with weapons and ammunition 
24,2015 NOV 16,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Central Metro station,Call reporting IED - First Responders action - no explosive Central Metro station
25,2015 NOV 16,CACHE/FOUND,0,0,Zakarpatye,DONETSK,UKRAINE,"After the search of a van, 2 detonators & 400 gr of TNT were found",,,"After the search of a van, 2 detonators & 400 gr of TNT were found "
26,2015 NOV 15,HOAX/FALSE,0,0,Chernihiv,CHERNIHIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,It was a suitcase in front of a polling station,Call reporting IED - First Responders action - no explosive It was a suitcase in front of a polling station
27,2015 NOV 13,UNKNOWN,0,0,Zhytomir,ZHYTOMYR,UKRAINEæ,An IED was detonated between Atlantic & Lviv Streets,,,An IED was detonated between Atlantic & Lviv Streets 
28,2015 NOV 13,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Railway Central station,Call reporting IED - First Responders action - no explosive Railway Central station
29,2015 NOV 13,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,UKRAINE,An IED was detonated,,,An IED was detonated 
30,2015 NOV 13,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,"Detonators, TNT and plastic explosive were seized",,,"Detonators, TNT and plastic explosive were seized "
31,2015 NOV 12,UNKNOWN,2,0,Marinka,DONETSK,UKRAINE,A civilian car was affected by the detonation on an IED,,,A civilian car was affected by the detonation on an IED 
32,2015 NOV 12,CACHE/FOUND,0,0,Mistky,LUHANSK ,UKRAINE,"Weapons, grenades and ammunition found along with 1 Kg TNT",,,"Weapons, grenades and ammunition found along with 1 Kg TNT "
33,2015 NOV 10 ,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,A cache with TNT and rockets was found,,,A cache with TNT and rockets was found 
34,2015 NOV 10,CACHE/FOUND,0,0, Volnovakha,DONETSK,UKRAINE,Several 120 mm artillery rounds were found protected by an IED,,Composed of TNT & artillery fuzes,Several 120 mm artillery rounds were found protected by an IED Composed of TNT & artillery fuzes
35,2015 NOV 09,PROJECTED,1,0,Kievæ,æKIEV,UKRAINEæ,A man was killed after the detonation of an improvised hand grenade,,,A man was killed after the detonation of an improvised hand grenade 
36,2015 NOV 07,CACHE/FOUND,0,0,TBD,DONETSK,UKRAINE,Two caches with explosives were discovered,,,Two caches with explosives were discovered 
37,2015 NOV 06,CACHE/FOUND,0,0,Odessa,ODESSA,UKRAINE,Explosives were found inside a garbage container,,,Explosives were found inside a garbage container 
38,2015 NOV 04,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,2 Kg of TNT were seized after a search for weapons and ammo,,,2 Kg of TNT were seized after a search for weapons and ammo 
39,2015 NOV 03,CACHE/FOUND,0,0,Pobeda,LUHANSK,UKRAINE,Explosives were found hidden in the roof of a house,,,Explosives were found hidden in the roof of a house 
40,2015 NOV 01,UNKNOWN,0,2,Volnovakha,DONETSK,UKRAINE,An IED was used against a night club,,,An IED was used against a night club 
41,2015 OCT 31,UNKNOWN,0,0,Svatovo,LUHANSK,UKRAINE, Ammunition depot was blown up after an IED detonation,,It causes the detonation of about 3500 tons of ammunition, Ammunition depot was blown up after an IED detonation It causes the detonation of about 3500 tons of ammunition
42,2015 OCT 29,CACHE/FOUND,0,0,Mariupol ,DONETSK,UKRAINE,A DNR militant was detained with 100 gr of TNT,,,A DNR militant was detained with 100 gr of TNT 
43,2015 OCT 28,CACHE/FOUND,0,0,Marinka,DONETSK,UKRAINE,"Rockets, grenades and explosives were found",,,"Rockets, grenades and explosives were found "
44,2015 OCT 27,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,A cache with explosives was discovered near a monastery,,"Pokrovsky monastery, University Street","A cache with explosives was discovered near a monastery Pokrovsky monastery, University Street"
45,2015 OCT 26,CACHE/FOUND,0,0,Artemivsk,DONETSK,UKRAINE,9 Kg of TNT and several detonators were seized,,,9 Kg of TNT and several detonators were seized 
46,2015 OCT 24,CACHE/FOUND,0,0,Slavne,DONETSK,UKRAINE,Detonators and TNT were found,,,Detonators and TNT were found 
47,2015 OCT 22,CACHE/FOUND,0,0,Novokramatorsk,DONETSK,UKRAINE,Grenades and 400 gr of TNT were found,,,Grenades and 400 gr of TNT were found 
48,2015 OCT 22,CACHE/FOUND,0,0,Zaceive,DONETSK,UKRAINE,More than 20 Kg of TNT were seized after a search,,,More than 20 Kg of TNT were seized after a search 
49,2015 OCT 22,UNKNOWN,0,1,Zolote,LUHANSK,UKRAINE,The detonation of an IED caused injuries to one soldier,,,The detonation of an IED caused injuries to one soldier 
50,2015 OCT 21,CACHE/FOUND,0,0,Verkhnio Toretske,DONETSK,UKRAINE,"Weapons, 1.1 Kg TNT and landmines were found",,,"Weapons, 1.1 Kg TNT and landmines were found "
51,2015 OCT 21,UNKNOWN,0,1,Mikolayiv,MIKOLAYIV,UKRAINE,Detonation of a device inside an apartment,,,Detonation of a device inside an apartment 
52,2015 OCT 20,HOAX/FALSE,0,0,Mariupol ,DONETSK,UKRAINE,Call reporting IED - First Responders action - no explosive,,Khmelnytsky Boulevard,Call reporting IED - First Responders action - no explosive Khmelnytsky Boulevard
53,2015 OCT 20,CACHE/FOUND,0,0,Shchastya,LUHANSK,UKRAINE,"Weapons, ammunition & explosives were discovered in a search",,,"Weapons, ammunition & explosives were discovered in a search "
54,2015 OCT 19,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK,UKRAINE,Explosives were found during a search for weapons,,"20 Kg TNT, 7 m detonating cord & 7 electric detonators","Explosives were found during a search for weapons 20 Kg TNT, 7 m detonating cord & 7 electric detonators"
55,2015 OCT 19,CACHE/FOUND,0,0,Mezhova,DONETSK,UKRAINE,Black powder and explosives were seized during a vehicle search,,,Black powder and explosives were seized during a vehicle search 
56,2015 OCT 18,CACHE/FOUND,0,0,Sergueevka,DONETSK,UKRAINE,2 Kg of TNT were found along with weapons,,,2 Kg of TNT were found along with weapons 
57,2015 OCT 17,UNKNOWN,0,0,Kievæ,æKIEV,UKRAINEæ,An IED was detonated in a parking area,,,An IED was detonated in a parking area 
58,2015 OCT 17,UNKNOWN,0,0,Kherson,KHERSON,UKRAINE,A device was blown up against a caf_,,,A device was blown up against a caf_ 
59,2015 OCT 16,CACHE/FOUND,0,0,Artemivsk,DONETSK,UKRAINE,Detonators and munitions were found during a search,,,Detonators and munitions were found during a search 
60,2015 OCT 16,CACHE/FOUND,0,0,Kurakhovo,DONETSK,UKRAINE,"Weapons, explosives and detonators were discovered",,,"Weapons, explosives and detonators were discovered "
61,2015 OCT 15,CACHE/FOUND,0,0,Maryinsky,DONETSK,UKRAINE,Explosives found,,,Explosives found 
62,2015 OCT 13,CACHE/FOUND,0,0,Marinka,DONETSK,UKRAINE,"Weapons, gunpowder and explosives were found",,æNot clear if explosives were munition or explosives in fact,"Weapons, gunpowder and explosives were found æNot clear if explosives were munition or explosives in fact"
63,2015 OCT 13,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,A man was detained with explosives,,11 Kg of plastic explosive along with 5 electric detonators,A man was detained with explosives 11 Kg of plastic explosive along with 5 electric detonators
64,2015 OCT 12,UNKNOWN,1,0,Krivoy Rog,DNIPROPETROVSK,UKRAINE,A suspected IED emplacer was killed by his own IED,,In front of a school,A suspected IED emplacer was killed by his own IED In front of a school
65,2015 OCT 07,UNKNOWN,0,0,Lviv,LVIV,UKRAINE,Detonation of a device against Poland Consulate,,It was emplaced inside a garbage can,Detonation of a device against Poland Consulate It was emplaced inside a garbage can
66,2015 OCT 07,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,An IED was blown up against in the railroad,,"Station ""kupiansk-Uzlovy""","An IED was blown up against in the railroad Station ""kupiansk-Uzlovy"""
67,2015 OCT 07,CACHE/FOUND,0,0,Aslanove,DONETSK,UKRAINE,Some weapons were found along with explosives,,TNT and plastic explosive,Some weapons were found along with explosives TNT and plastic explosive
68,2015 OCT 07,UNKNOWN,0,0,Bilhorod Dnistrovsky,ODESSA,UKRAINE,A device was blown up against an enlistment office,,200 gr TNT equivalent,A device was blown up against an enlistment office 200 gr TNT equivalent
69,2015 OCT 07,CACHE/FOUND,0,0,Bila Tserkva,KIEV,UKRAINE,Arms dealers were detained: explosives found,,,Arms dealers were detained: explosives found 
70,2015 OCT 03,CACHE/FOUND,0,0,Popasna,LUHANSK,UKRAINE,Explosives and weapons were found,,,Explosives and weapons were found 
71,2015 OCT 05,HOAX/FALSE,0,0,Kharkiv,KHARKIV,UKRAINE,Call reporting IED - First Responders action - no explosive,,City center,Call reporting IED - First Responders action - no explosive City center
72,2015 OCT 03,CACHE/FOUND,0,0,Dzerzhinsk,DONETSK,UKRAINE,A man was detained when trying to emplace an IED,,Against a check point in the road,A man was detained when trying to emplace an IED Against a check point in the road
73,2015 OCT 02,VOIED,1,0,Stanytsia Luhanska,LUHANSK ,UKRAINE,One soldier was killed after the detonation of an IED,,,One soldier was killed after the detonation of an IED 
74,2015 OCT 01,CACHE/FOUND,0,0,Vinnytsia,VINNYTSIA,UKRAINE,One arms dealer was detained in possession of explosives,,"TNT blocks (4,6 Kg)","One arms dealer was detained in possession of explosives TNT blocks (4,6 Kg)"
75,2015 OCT 01,CACHE/FOUND,0,0,Kurakhovo,DONETSK,UKRAINE,Explosives and detonators were seized,,,Explosives and detonators were seized 
76,2015 SEP 30,CACHE/FOUND,0,0,Dnipropetrovsk,DNIPROPETROVSK,UKRAINE,Explosives and detonators were seized,,,Explosives and detonators were seized 
77,2015 SEP 28,UNKNOWN,0,1,Kievæ,æKIEV,UKRAINEæ,A device was blown up in a railway station,,"In ""Southern Vzryvpaket"" station. Suspect was detained hours later.","A device was blown up in a railway station In ""Southern Vzryvpaket"" station. Suspect was detained hours later."
78,2015 SEP 28,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device detonated in central railway station,,Not confirmed,A device detonated in central railway station Not confirmed
79,2015 SEP 27,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,IED attack against the building of UKR Security Service (SBU/???),,"5-7  Kg TNT equivalent. It was claimed by ""???????? ????????""","IED attack against the building of UKR Security Service (SBU/???) 5-7  Kg TNT equivalent. It was claimed by ""???????? ????????"""
80,2015 SEP 26,HOAX/FALSE,0,0,Odessa,ODESSA,UKRAINE,Call reporting IED - First Responders action - no explosive,,Central railway station,Call reporting IED - First Responders action - no explosive Central railway station
81,2015 SEP 25,CACHE/FOUND,0,0,Severodonetsk,LUHANSK,UKRAINE,Several IEDs were found protecting a cache withy missiles,,,Several IEDs were found protecting a cache withy missiles 
82,2015 SEP 24,UNKNOWN,1,3,Torez,DONETSK,UKRAINE,An IED blown up during a military tank competition,,It was hidden inside a combat vehicle's battery compartment,An IED blown up during a military tank competition It was hidden inside a combat vehicle's battery compartment
83,2015 SEP 23,VOIED,0,0,Sopyne,DONETSK,UKRAINE,Several IEDs were found under Ukrainian soldiers corpses,,,Several IEDs were found under Ukrainian soldiers corpses 
84,2015 SEP 22,CACHE/FOUND,0,0,TBD,DNIPROPETROVSK,UKRAINE,3 suspects were detained when r-trying to blow a bridge up,,Explosives and detonators were seized,3 suspects were detained when r-trying to blow a bridge up Explosives and detonators were seized
85,2015 SEP 21,CACHE/FOUND,0,0,Mikolayiv,MIKOLAYIV,UKRAINE,Explosives found after detention of 4 suspects,,"One complete IED, other explosives and weapons","Explosives found after detention of 4 suspects One complete IED, other explosives and weapons"
86,2015 SEP 20,CACHE/FOUND,0,0,TBD,DONETSK,UKRAINE,Explosives were found during vehicle search in a check point,,"Detonating cord, detonators and military ordnance as main charge","Explosives were found during vehicle search in a check point Detonating cord, detonators and military ordnance as main charge"
87,2015 SEP 17,CACHE/FOUND,0,0,Debaltseve,LUHANSK,UKRAINE,"A cache with weapons, ammunition and TNT was discovered",,,"A cache with weapons, ammunition and TNT was discovered "
88,2015 SEP 15,CACHE/FOUND,0,0,Polovynkyne,LUHANSK,UKRAINE,A large cache of weapons and explosives was discovered,,,A large cache of weapons and explosives was discovered 
89,2015 SEP 14,VOIED,0,2,Berezove,DONETSK,UKRAINE,Two women wounded after triggering an IED,,,Two women wounded after triggering an IED 
90,2015 SEP 14,CACHE/FOUND,0,0,Mariupol,DONETSK,UKRAINE,4 KG of TNT and other ammunition were found in a warehouse,,"They were packed in white bags marked as ""Novorossiya Aid Foundation""","4 KG of TNT and other ammunition were found in a warehouse They were packed in white bags marked as ""Novorossiya Aid Foundation"""
91,2015 SEP 11,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was detonated in a residential area,,,A device was detonated in a residential area 
