ID,DATE,TYPE,KIA,WIA,CITY,REGION,COUNTRY,DETAILS,GROUP,REMARKS,TEXT
373,2015 MAR 06,UNKNOWN,0,2,Kharkiv,KHARKIV,UKRAINE,A device against the car of a Volunteer Battalion Commander,,Against Andrey Yangolenko. Another magnetically-attached IED failed,A device against the car of a Volunteer Battalion Commander Against Andrey Yangolenko. Another magnetically-attached IED failed
152,2015 JUL 20,UNKNOWN,0,1,Odessa,ODESSA,UKRAINE,"A device blew up at the door of Caf_ ""Liberty""",,Richelieu Street (04:00 AM),"A device blew up at the door of Caf_ ""Liberty"" Richelieu Street (04:00 AM)"
162,2015 JUL 14,UNKNOWN,0,1,Lviv,LVIV,UKRAINE,A device blew up in the entrance to an Office of District Police,,Plugova Street,A device blew up in the entrance to an Office of District Police Plugova Street
556,2014 JUL 29,VOIED,1,8,Berestove,DONETSK,UKRAINE,A device blew up killing 1 woman & injuring 8 children,,,A device blew up killing 1 woman & injuring 8 children 
262,2015 MAY 06,CACHE/FOUND,0,0,Stanytsia Luhanska,LUHANSK ,UKRAINE,A device composed by two ATGM and a hand grenade was found,,,A device composed by two ATGM and a hand grenade was found 
101,2015 SEP 03,UNKNOWN,0,2,Dzerzhinsk,DONETSK,UKRAINE,A device detonated affecting two persons,,,A device detonated affecting two persons 
425,2014 DEC 29,UNKNOWN,0,2,Starobelsk,LUHANSK,UKRAINE,A device detonated during an antiterrorism operation,,"Near the city park, hidden inside a garbage bin","A device detonated during an antiterrorism operation Near the city park, hidden inside a garbage bin"
78,2015 SEP 28,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device detonated in central railway station,,Not confirmed,A device detonated in central railway station Not confirmed
437,2014 DEC 23,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device detonated in railway after the pass of a freight train,,Zastava-1 station,A device detonated in railway after the pass of a freight train Zastava-1 station
190,2015 JUN 25,UNKNOWN,0,1,Shyroka,LUHANSK ,UKRAINE,A device detonated when trying to open an abandoned bag,,Possible VOIED,A device detonated when trying to open an abandoned bag Possible VOIED
382,2015 FEB 14,UNKNOWN,0,0,Donetsk,DONETSK,UKRAINE,A device was blown up 100 m away from DPR leader residence,,Against Aleksandr Zaharchenko before a press conference,A device was blown up 100 m away from DPR leader residence Against Aleksandr Zaharchenko before a press conference
209,2015 JUN 12,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up against a billboard with patriotic message,,(200 gr TNT equ) Between Velika Arnautska St & Staroportofranskivska St,A device was blown up against a billboard with patriotic message (200 gr TNT equ) Between Velika Arnautska St & Staroportofranskivska St
58,2015 OCT 17,UNKNOWN,0,0,Kherson,KHERSON,UKRAINE,A device was blown up against a caf_,,,A device was blown up against a caf_ 
178,2015 JUL 02,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up against a restaurant,,"""?????????"" (Angelov) Caf_ (400-650 gr TNT equivalent). ","A device was blown up against a restaurant ""?????????"" (Angelov) Caf_ (400-650 gr TNT equivalent). "
68,2015 OCT 07,UNKNOWN,0,0,Bilhorod Dnistrovsky,ODESSA,UKRAINE,A device was blown up against an enlistment office,,200 gr TNT equivalent,A device was blown up against an enlistment office 200 gr TNT equivalent
344,2015 MAR 20,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device was blown up against railroad,,,A device was blown up against railroad 
211,2015 JUN 11,UNKNOWN,0,0,Yasynuvata,DONETSK,UKRAINE,A device was blown up against railway,,"Between ""Yasinovataya"" & ""Skotovataya"" stations","A device was blown up against railway Between ""Yasinovataya"" & ""Skotovataya"" stations"
104,2015 SEP 02,UNKNOWN,1,0,Ognevka,POLTAVA,UKRAINE_,A device was blown up causing a fire with the result of a dead man,,,A device was blown up causing a fire with the result of a dead man 
182,2015 JUL 01,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device was blown up close to a university hostel,,"Near ""Oleksiivska"" Metro Station. Two more explosions reported during night","A device was blown up close to a university hostel Near ""Oleksiivska"" Metro Station. Two more explosions reported during night"
9,2015 NOV 28,UNKNOWN,0,0,Avdotyino,DONETSK,UKRAINE,A device was blown up damaging a power substation,,,A device was blown up damaging a power substation 
77,2015 SEP 28,UNKNOWN,0,1,Kiev_,_KIEV,UKRAINE_,A device was blown up in a railway station,,"In ""Southern Vzryvpaket"" station. Suspect was detained hours later.","A device was blown up in a railway station In ""Southern Vzryvpaket"" station. Suspect was detained hours later."
249,2015 MAY 14,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up in front of Odessa College of Railway Transport,,Inside communications box Alekseevskaya Square. 400 gr TNT equivalent,A device was blown up in front of Odessa College of Railway Transport Inside communications box Alekseevskaya Square. 400 gr TNT equivalent
207,2015 JUN 12,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up,,In the crossing of Admiralsky Avenue and Krasnova Street,A device was blown up In the crossing of Admiralsky Avenue and Krasnova Street
374,2015 MAR 05,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,A device was blown up near a Right Sector office,,Koblevskaya Street,A device was blown up near a Right Sector office Koblevskaya Street
401,2015 JAN 25,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,A device was blown up,,Near Kharkiv-Balashovsky railway station,A device was blown up Near Kharkiv-Balashovsky railway station
167,2015 JUL 08,CACHE/FOUND,0,0,Popasna,LUHANSK,UKRAINE,A guy was detained when trying to lie a device in a bakery plant,,He confessed a group threated him and his family in order to do it,A guy was detained when trying to lie a device in a bakery plant He confessed a group threated him and his family in order to do it
267,2015 MAY 02,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,A guy was detained while trying to blow a fortification up,,1.2 Kg of TNT plus detonators were seized,A guy was detained while trying to blow a fortification up 1.2 Kg of TNT plus detonators were seized
126,2015 AUG 17,CACHE/FOUND,0,0,Kiev_,_KIEV,UKRAINE_,A guy was detained with fuzes and detonators inside a backpack,,Vokzalnaya metro station,A guy was detained with fuzes and detonators inside a backpack Vokzalnaya metro station
444,2014 DEC 17,PROJECTED,0,0,Apostolovo,DNIPROPETROVSK,UKRAINE,A homemade grenade thrown against Apostolovo City Council,,,A homemade grenade thrown against Apostolovo City Council 
99,2015 SEP 04,PROJECTED,0,0,Rivne,RIVNE,UKRAINE,A homemade grenade was blown up in the street,,,A homemade grenade was blown up in the street 
131,2015 AUG 13,CACHE/FOUND,0,0,Kharkiv,KHARKIV,UKRAINE,A homemade grenade was found in the roof of a kiosk,,,A homemade grenade was found in the roof of a kiosk 
397,2015 FEB 05,PROJECTED,1,0,Ivano-Frankovsk,IVANO-FRANKIVSK,UKRAINE,A homemade grenade was thrown against a man,,,A homemade grenade was thrown against a man 
103,2015 SEP 03,PROJECTED,0,0,Zaporizhia,ZAPORIZHYE,UKRAINE,A homemade hand grenade was thrown against a business office,,,A homemade hand grenade was thrown against a business office 
216,2015 JUN 07,UNKNOWN,1,5,Mariupol,DONETSK,UKRAINE,A homemade sea mine detonated against a patrol boat,,The boat was leaving the Korabelno bay. It was reported as WBIED,A homemade sea mine detonated against a patrol boat The boat was leaving the Korabelno bay. It was reported as WBIED
381,2015 FEB 15,UNKNOWN,0,0,Zelenyi Kolodez,KHARKIV,UKRAINE,An IED was detonated against a power substation,,The station provided power to railways,An IED was detonated against a power substation The station provided power to railways
335,2015 MAR 29,UNKNOWN,0,0,Osnova,KHARKIV,UKRAINE,An IED was detonated against a railway fuel tank,,,An IED was detonated against a railway fuel tank 
7,2015 DEC 02,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,UKRAINE,An IED was detonated against a store in Franko Street,,,An IED was detonated against a store in Franko Street 
135,2015 AUG 06,UNKNOWN,0,0,Odessa,ODESSA,UKRAINE,"An IED was detonated against bar ""BIKINI""",,,"An IED was detonated against bar ""BIKINI"" "
27,2015 NOV 13,UNKNOWN,0,0,Zhytomir,ZHYTOMYR,UKRAINE_,An IED was detonated between Atlantic & Lviv Streets,,,An IED was detonated between Atlantic & Lviv Streets 
