id,date,type,text
1,12/9/2015,CACHE/FOUND,IEDs were found and disposed by Combat Engineers TBC if they were just landmines
2,12/9/2015,UNKNOWN,An IED was blown up in front of a ROSHEN shop Shopping Center 
3,12/8/2015,UNKNOWN,A device was detonated against a restaurant (LKafa) Boulevard Lesi Ukrainian
4,12/7/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central Metro/bus station
5,12/2/2015,CACHE/FOUND,An IED was found and disposed by EOD 
6,12/2/2015,CACHE/FOUND,A cache with 3 IEDs with TNT was found and cleared Inside an abandoned house
7,12/2/2015,UNKNOWN,An IED was detonated against a store in Franko Street 
8,11/30/2015,CACHE/FOUND,"Several landmines, 800 gr of TNT and electric detonators were found "
9,11/28/2015,UNKNOWN,A device was blown up damaging a power substation 
10,11/27/2015,CACHE/FOUND,"A cache was discovered: weapons, 1 Kg TNT & electric detonators Near a pump station"
11,11/26/2015,UNKNOWN,IED attack against a power substation 
12,11/26/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Lukyanovska Metro station
13,11/26/2015,CACHE/FOUND,"Near the railway, 500 gr of plastic explosive were found "
14,11/25/2015,CACHE/FOUND,3 detonators & 600 gr TNT 
15,11/24/2015,CACHE/FOUND,A Command-Wired IED was found near a road close to a gas pipeline 800 gr TNT & electric detonators
16,11/22/2015,UNKNOWN,Four electrical towers were blown up Electrical power to Crimea was disrrupted
17,11/21/2015,CACHE/FOUND,"An IED was found in front of the City Council 800 gr TNT& detonating cord, but without any fuze or switch"
18,11/20/2015,UNKNOWN,Two electrical towers were blown up Electrical power to Crimea was disrrupted
19,11/19/2015,CACHE/FOUND,"Ammunition, explosives and detonators were found "
20,11/18/2015,CACHE/FOUND,"2,5 Kg of plastic explosive were found "
21,11/18/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Teatralna & Kreshatyk Metro stations
22,11/17/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Threat against all MCDONALDS restaurants
23,11/16/2015,CACHE/FOUND,5 Kg of TNT were found along with weapons and ammunition 
24,11/16/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Central Metro station
25,11/16/2015,CACHE/FOUND,"After the search of a van, 2 detonators & 400 gr of TNT were found "
26,11/15/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive It was a suitcase in front of a polling station
27,11/13/2015,UNKNOWN,An IED was detonated between Atlantic & Lviv Streets 
28,11/13/2015,HOAX/FALSE,Call reporting IED - First Responders action - no explosive Railway Central station
29,11/13/2015,UNKNOWN,An IED was detonated 
30,11/13/2015,CACHE/FOUND,"Detonators, TNT and plastic explosive were seized "
31,11/12/2015,UNKNOWN,A civilian car was affected by the detonation on an IED 
32,11/12/2015,CACHE/FOUND,"Weapons, grenades and ammunition found along with 1 Kg TNT "
33,11/10/2015,CACHE/FOUND,A cache with TNT and rockets was found 
34,11/10/2015,CACHE/FOUND,Several 120 mm artillery rounds were found protected by an IED Composed of TNT & artillery fuzes
35,11/9/2015,PROJECTED,A man was killed after the detonation of an improvised hand grenade 
