id,word_1,w1_value,word_2,w2_value,word_3,w3_value
1,just,0.365523008872,engineers,0.343680870424,combat,0.343680870424
2,shop,0.448569244561,roshen,0.448569244561,shopping,0.379607345539
3,lesi,0.4595239073,lkafa,0.4595239073,restaurant,0.397470111396
4,bus,0.532046757193,central,0.401952578227,metro,0.328920542541
5,eod,0.602797475745,disposed,0.477106604168,by,0.324660506123
6,cleared,0.443140797049,with,0.439869442873,abandoned,0.39787250139
7,franko,0.599258631175,store,0.5022331738,street,0.300361543799
8,800,0.462924889006,landmines,0.401305303517,several,0.367732068105
9,damaging,0.540904418159,substation,0.52109235847,power,0.436256163692
10,pump,0.46912327017,electric,0.362373440411,discovered,0.334428365573
11,substation,0.639347328447,power,0.535258689254,attack,0.430527363831
12,lukyanovska,0.636567823504,metro,0.340394273712,station,0.270504807168
13,500,0.558846466188,plastic,0.360121359857,gr,0.343648943576
14,600,0.699145979162,gr,0.467341816739,detonators,0.427259973789
15,wired,0.383567291179,command,0.360646901286,800,0.344384625855
16,electrical,0.629237765561,towers,0.329475582364,four,0.329475582364
17,any,0.311335631246,without,0.311335631246,but,0.311335631246
18,electrical,0.647674151351,crimea,0.339129069928,towers,0.339129069928
19,ammunition,0.610814755148,detonators,0.431208238653,explosives,0.359456273998
20,plastic,0.567251910307,kg,0.464655431598,found,0.383303444168
21,kreshatyk,0.522311218121,teatralna,0.491100066805,stations,0.367211699561
22,threat,0.450869795714,restaurants,0.450869795714,mcdonalds,0.42392768739
23,ammunition,0.47483294998,along,0.39810431264,weapons,0.343169917749
24,central,0.474720053737,metro,0.388466665195,station,0.308707015585
25,van,0.453426998093,400,0.379607030284,of,0.346430939743
26,polling,0.477720531556,suitcase,0.449173934662,front,0.345937102746
27,streets,0.523779485652,atlantic,0.523779485652,lviv,0.427075507495
28,central,0.480956570504,railway,0.358399628015,station,0.312762577307
29,detonated,0.666610440569,an,0.537828781709,was,0.374280689201
30,plastic,0.500948202427,detonators,0.43703530433,seized,0.406412836893
31,civilian,0.463018390019,on,0.443881834238,affected,0.403574818349
32,ammunition,0.457512665105,grenades,0.408296044926,along,0.383582826494
33,rockets,0.617193686041,cache,0.452237474065,with,0.354141785071
34,artillery,0.571747260645,rounds,0.318399155392,protected,0.29937294291
35,improvised,0.436858818569,killed,0.397616954287,grenade,0.356853842878
36,caches,0.642471292899,two,0.419831587194,discovered,0.411217934454
37,container,0.589127526364,garbage,0.562562611863,inside,0.370544436055
38,ammo,0.469962022952,for,0.422895395924,search,0.318856173417
39,hidden,0.5107746428,roof,0.5107746428,house,0.399297298939
40,club,0.558097841411,night,0.537656026969,used,0.474157951573
41,ammunition,0.476831545014,detonation,0.325780764421,tons,0.318413742002
42,militant,0.52076615628,dnr,0.450442248726,100,0.450442248726
43,rockets,0.634681371425,grenades,0.490314366403,explosives,0.323324872541
44,monastery,0.725961460284,pokrovsky,0.341290507723,university,0.325901050005
45,several,0.523690945846,detonators,0.38812588982,kg,0.364421478289
46,detonators,0.552115203027,tnt,0.429040330329,found,0.427634526109
47,400,0.50556994051,grenades,0.466523193477,gr,0.403665051823
48,than,0.51084561212,20,0.416529579764,more,0.389676802025
49,injuries,0.503873903918,caused,0.452401520854,soldier,0.422292106938
50,landmines,0.583033453113,weapons,0.40535772985,kg,0.371773970232
